Carimbo de data/hora,Por qual meio de divulgação você conheceu a FMP? ,Município de residência,"Se você for morador de Palhoça, selecione o bairro em que você mora. Se morador de outra cidade, preencha bairro e cidade em ""Outros"".",Em que ano/semestre você ingressou na FMP?,Qual curso você faz na FMP?,Qual sua nacionalidade?,Qual a sua faixa etária?,Qual sua cor/raça?,Como você se identifica com relação a seu gênero?,Possui filhos/dependentes?,"Se sim, quantos filhos você possui?",Você concluiu o Ensino Médio em:,Qual a sua escolaridade?,"Se você possui outra graduação, diga qual.","Algum de seus pais ou responsável possui ensino superior completo? Se sim, quem? ",Você possui algum diagnóstico/investigação de deficiência que necessite de adaptação pedagógica?,"Deficiência. Se sim, qual?",Você está trabalhando?,Você trabalha na área do curso em que está matriculado?,Qual sua principal atividade?,Qual sua jornada diária de trabalho?,Qual renda per capita familiar?,Qual sua situação de moradia?,Como você realiza o trajeto até a FMP?,Você tem acesso à internet em casa?,Você possui computador/notebook pessoal?,Você enfrenta dificuldades no uso de tecnologias digitais aplicadas ao seu curso de graduação?  ,Você pratica alguma atividade física?,Você encontra alguma dificuldade ou limitação para frequentar o curso?,"Dificuldade ou limitação. Se sim, qual?",Você segue a FMP nas redes sociais?,Qual meio de comunicação você mais usa para se informar?
04/10/2025 14:39:09,Amigos/familiares,Palhoça,Madri,2025/01,Pós Graduação em Gestão Escolar,Brasileira,Entre 40 e 45 anos,Branca,Feminino,Sim,2,De forma mista,Pós Graduação,,Não,Não,,Sim,Sim,Colaborador(a) de empresa privada,indefinido,Mais de 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Sim,Não,,Sim,"Televisão, Whatsapp"
04/10/2025 15:54:16,"Amigos/familiares, Outros",São José,Não moro,2024/02,Pedagogia,Brasileira,Entre 34 e 39 anos,Branca,Feminino,Sim,3,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,MEI (Microempreendedor individual),8 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Carro,Sim,Não,Sim,Não,Sim,,Sim,"Jornais/revistas, Redes Sociais"
04/10/2025 16:29:37,Amigos/familiares,Palhoça,Barra do Aririú,2024/01,Pedagogia,Brasileira,Entre 40 e 45 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Sim,Não,Sim,Informática ,Sim,"Redes Sociais, Whatsapp"
04/10/2025 17:13:46,Sites da FMP,Palhoça,Caminho Novo,2025/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 22 e 26 anos,Preta,Feminino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Sim,Estagiário(a),6 horas,Menos de 1 salário mínimo,Moro com a família em residência alugada,Ônibus,Sim,Sim,Não,Não,Não,,Sim,Redes Sociais
04/10/2025 18:04:32,Redes sociais,Palhoça,Bela Vista,2025/01,Pedagogia,Brasileira,Entre 27 e 33 anos,Preta,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Ônibus,Sim,Não,Não,Não,Não,,Sim,"Redes Sociais, Whatsapp"
04/10/2025 18:44:03,Redes sociais,Palhoça,Barra do Aririú,2022/02,Pedagogia,Brasileira,Entre 40 e 45 anos,Branca,Feminino,Sim,1,Escola pública,Superior Completo,Processos Gerências ,Não,Não,,Sim,Sim,Funcionário(a) Público(a),6 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Sim,Não,,Sim,"Jornais/revistas, Rádio, Redes Sociais, Televisão, Whatsapp"
04/10/2025 18:44:15,Amigos/familiares,Palhoça,Alto Aririú,2023/01,Pedagogia,Brasileira,Entre 46 e 50 anos,Branca,Feminino,Sim,2,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,MEI (Microempreendedor individual),indefinido,De 4 a 6 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Sim,Não,Não,,Sim,Redes Sociais
04/10/2025 18:47:41,Outros,Palhoça,Bela Vista,2025/01,Tecnólogo em Processos Gerenciais,Brasileira,Entre 40 e 45 anos,Branca,Feminino,Sim,1,De forma mista,Superior Completo,Farmácia,"Sim, o pai",Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Sim,Não,Sim,Financeiros,Sim,"Redes Sociais, Whatsapp"
04/10/2025 18:48:07,Outros,Palhoça,Pedra Branca,2024/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 51 e 55 anos,Branca,Masculino,Não,,Escola pública,Superior Completo,Jornalismo,"Sim, a mãe",Não,,Sim,Não,Colaborador(a) de empresa privada,6 horas,Mais de 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Sim,Não,,Sim,Jornais/revistas
04/10/2025 19:11:46,Amigos/familiares,São José,Não moro,2025/02,Pedagogia,,Entre 27 e 33 anos,Branca,Feminino,Não,,Escola particular,Superior Completo,ADMINISTRAÇÃO,Não,Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Não,Não,,Sim,Redes Sociais
