Carimbo de data/hora,Por qual meio de divulgação você conheceu a FMP?,Qual seu município de residência?,"Se você for morador de Palhoça, selecione o bairro em que você mora. Se morador de outra cidade, preencha bairro e cidade em ""Outros"".",Em que ano/semestre você ingressou na FMP?,Qual curso você faz na FMP?,Qual a sua faixa etária?,Qual sua cor/raça?,Como você se identifica com relação a seu gênero?,Possui filhos/dependentes?,"Se sim, quantos filhos você possui?",Você concluiu o Ensino Médio em:,Qual a sua escolaridade?,"Se você possui outra graduação, diga qual.",Você possui algum diagnóstico/investigação de deficiência que necessite de adaptação pedagógica?,"Deficiência. Se sim, qual?",Você está trabalhando?,Você trabalha na área do curso em que está matriculado?,Qual sua principal atividade?,Qual sua jornada diária de trabalho?,Qual sua faixa de renda?,Qual sua situação de moradia?,Como você realiza o trajeto até a FMP?,Você tem acesso à internet em casa?,Você possui computador/notebook pessoal para estudos?,Você possui dificuldades com o uso da tecnologia?,Como você se alimenta na FMP?,Você pratica alguma atividade física?,"Atividade física. Se sim, qual?",Você encontra alguma dificuldade ou limitação para frequentar o curso?,"Dificuldade ou limitação. Se sim, qual",Você segue a FMP no Facebook?,Você segue a FMP no Instagram?,Qual meio de comunicação você mais usa para se informar?
4/10/2024 8:07:29,Amigos/familiares,Palhoça,Passa Vinte,2024/01,Tecnólogo em Processos Gerenciais,Entre 34 e 39 anos,Branca,Feminino,Sim,2,Escola pública,Ensino Médio,,Não,,Sim,Sim,MEI (Microempreendedor individual),4 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,Não,Não,,Sim,Sim,Redes Sociais
4/10/2024 19:08:30,Amigos/familiares,Palhoça,Enseada do Brito,2020/02,Administração,Entre 22 e 26 anos,Branca,Masculino,Sim,1,Escola pública,Ensino Médio,,Não,,Sim,Sim,MEI (Microempreendedor individual),8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento e necessita de microondas para aquecê-lo",Sim,Corrida,Sim,Tempo,Não,Sim,Redes Sociais
4/10/2024 8:08:45,Redes Sociais (Facebook/Instagram),Palhoça,Enseada do Brito,2022/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 27 e 33 anos,Parda,Feminino,Sim,2,Escola pública,Ensino Médio,,Não,,Não,Não,Do lar,0,De 4 a 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,Nao,Não,,Sim,Sim,Redes Sociais
4/10/2024 19:56:28,Amigos/familiares,Palhoça,Aririú,2021/02,Administração,Entre 22 e 26 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,MEI (Microempreendedor individual),8 horas,De 4 a 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Musculação,Não,,Não,Sim,Redes Sociais
4/10/2024 9:14:30,Amigos/familiares,Palhoça,Centro,2022/01,Administração,Entre 51 e 55 anos,Branca,Masculino,Sim,2,De forma mista,Ensino Médio,,Sim,audição uso aparelho auditivo ,Sim,Não,MEI (Microempreendedor individual),12 horas,De 4 a 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,não consumo raramente,Sim,musculação,Sim,carga horária,Sim,Sim,Redes Sociais
4/10/2024 8:34:42,Amigos/familiares,Águas Mornas,,2020/02,Administração,Entre 34 e 39 anos,Branca,Feminino,Sim,1,Escola particular,Ensino Médio,,Não,,Sim,Sim,Autônomo(a),6 horas,Mais de 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Musculação ,Não,.,Não,Sim,Redes Sociais
4/15/2024 16:14:28,Amigos/familiares,Palhoça,Jardim Eldorado,2024/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 27 e 33 anos,Branca,Feminino,Não,,Escola particular,Pós Graduação,Arquitetura e Urbanismo,Sim,,Sim,Não,Autônomo(a),indefinido,Prefiro não responder,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,,Sim,Voltar a estar presente todos os dias em um sala de aula e conseguir acompanhar o ritmo de aprender novos conteúdos aliado a uma rotina externa bem diferente,Não,Sim,Redes Sociais
4/10/2024 21:10:26,Amigos/familiares,Palhoça,Barra do Aririú,2022/01,Pedagogia,Entre 16 e 21 anos,Branca,Feminino,Não,,Escola particular,Ensino Médio,,Não,,Não,Não,Desempregado(a)/Só estudo,0,Prefiro não responder,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento e necessita de microondas para aquecê-lo",Sim,musculação ,Não,,Não,Não,Redes Sociais
4/10/2024 13:18:05,Amigos/familiares,Palhoça,Bela Vista,2022/01,Administração,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola particular,Ensino Médio,,Não,,Sim,Sim,Estagiário(a),6 horas,Prefiro não responder,Moro com a família em residência própria,Carro,Sim,Sim,Não,não me alimento durante a aula,Sim,"academia, futebol",Não,,Não,Sim,Redes Sociais
4/15/2024 19:00:43,Amigos/familiares,Palhoça,Jardim Eldorado,2019/02,Administração,Entre 40 e 45 anos,Branca,Feminino,Sim,2,Escola particular,Pós Graduação,,Sim,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência alugada,Carro,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Sim,Caminhada e corrida,Não,,Sim,Sim,Redes Sociais
4/10/2024 10:50:24,Redes Sociais (Facebook/Instagram),Palhoça,Ponte do Imaruim,2019/01,Pedagogia,Acima de 56 anos,Branca,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,,Não,Não,Do lar,0,Menos de 1 salário mínimo,Moro sozinho/a em residência alugada,Carro,Sim,Sim,Sim,Me alimento em casa ,Sim,Não ,Sim,Cuido da minha neta que é especial ,Sim,Sim,Redes Sociais
4/10/2024 8:22:20,Amigos/familiares,Palhoça,Pedra Branca,2021/02,Administração,Entre 27 e 33 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Não,Não,Desempregado(a)/Só estudo,0,Prefiro não responder,Moro sozinho/a em residência alugada,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Musculação ,Não,,Não,Sim,Redes Sociais
4/10/2024 22:08:53,Amigos/familiares,Palhoça,Ponte do Imaruim,2024/01,Pós Graduação em Gestão Escolar,Entre 22 e 26 anos,Branca,Feminino,Não,,Escola pública,Pós Graduação,Pedagogia,Não,,Sim,Sim,Colaborador(a) de empresa privada,6 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência própria,Carro,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Não,,Não,,Não,Sim,Redes Sociais
4/15/2024 14:08:11,Amigos/familiares,Palhoça,Caminho Novo,2019/01,Administração,Entre 34 e 39 anos,Branca,Feminino,Não,,Escola pública,Pós Graduação,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência própria,Carro,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Não,,Não,,Sim,Sim,Redes Sociais
4/9/2024 22:48:53,Redes Sociais (Facebook/Instagram),Palhoça,Passa Vinte,2024/01,Pós Graduação em Gestão Empresarial,Entre 27 e 33 anos,Branca,Feminino,Não,,Escola pública,Superior Completo,,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência própria,Carro,Sim,Sim,Não,Sabados utilizo restaurante para almoço,Sim,Pedalo as vezes,Não,,Não,Sim,Redes Sociais
4/10/2024 19:24:28,Amigos/familiares,Palhoça,Madri,2020/02,Administração,Entre 27 e 33 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,"Carro, Ônibus",Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Não,,Não,,Não,Sim,Redes Sociais
4/10/2024 19:05:17,Amigos/familiares,Palhoça,Pachecos,2024/01,Pedagogia,Entre 16 e 21 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,6 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,"Carro, Ônibus",Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Não,Não faço ,Não,,Não,Sim,Redes Sociais
4/10/2024 19:19:42,Amigos/familiares,Palhoça,Bela Vista,2023/01,Administração,Entre 40 e 45 anos,Preta,Feminino,Não,,Escola pública,Superior Completo,Gestão em recursos humanos ,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,"Carro, Ônibus",Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Academia funcional e musculação ,Não,,Não,Sim,Redes Sociais
4/10/2024 8:11:46,Amigos/familiares,Palhoça,São Sebastião,2022/01,Administração,Entre 34 e 39 anos,Preta,Feminino,Sim,2,Escola pública,Ensino Médio,,Não,,Não,Não,Autônomo(a),4 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,"Carro, Ônibus",Sim,Sim,Sim,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Caminhada,Não,,Não,Sim,Redes Sociais
4/10/2024 8:01:24,Amigos/familiares,Palhoça,Barra do Aririú,2022/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola particular,Ensino Médio,,Não,,Não,Não,Desempregado(a)/Só estudo,0,Menos de 1 salário mínimo,Moro com a família em residência própria,"Carro, Ônibus, Aplicativo de transporte",Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Sim,Vôlei,Sim,Transporte público de pessima qualidade ,Não,Sim,Redes Sociais
